year,site_name,site_type,forest_cover_2000,loss_year,cumulative_loss_by_year,ndvi_mean,nighttime_lights_mean,likely_land_cover
2000,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6162412350021602,,vegetation
2001,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6306110136699571,,vegetation
2002,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6265509651546021,,vegetation
2003,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6352020233897459,,vegetation
2004,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.5964925588369722,,vegetation
2005,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6019710601271375,,vegetation
2006,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6313870397442791,,vegetation
2007,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.5901630282531021,,vegetation
2008,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6091235511820525,,vegetation
2009,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6378356385534647,,vegetation
2010,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.5996848959796341,,vegetation
2011,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6152309406895462,,vegetation
2012,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.594197915251521,0.0,vegetation
2013,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6187108914878553,0.0,vegetation
2014,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6190019620067944,0.04415461512923359,vegetation
2015,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6093571202672442,0.06252132459001061,vegetation
2016,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6103590664795865,0.06042780093475148,vegetation
2017,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.5963263265834756,0.2739801847090132,vegetation
2018,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6146937232242051,0.28687472434096284,vegetation
2019,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6177174785874293,0.30139683930846634,vegetation
2020,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.5854636615565832,0.3801411301885357,vegetation
2021,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.5874756705806609,0.23781688810859133,vegetation
2022,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.5869711634519578,,vegetation
2023,farm_site_2,farm,34.23409071428507,18.99999999999997,86277,0.6133075519555351,,vegetation
