municipality,state,soil_organic_carbon,clay_content,silt_content,sand_content,soil_ph,cation_exchange_capacity
Afonso Cunha,Maranhao,33.50353600052556,24.216844021024954,27.05825216819975,48.72536156373197,5.405449540078839,12.017185085413926
Agua Doce Do Maranhao,Maranhao,32.65717354310559,28.854346865388152,23.19690331335172,47.949453717995205,5.40350500795283,15.05994438027136
Alcantara,Maranhao,46.56911238584432,34.53563709015852,29.990032968147744,35.47441034428009,5.07997241260685,15.495740713787992
Aldeias Altas,Maranhao,31.453058640698135,18.64870610581992,25.206044787033473,56.14570640207904,5.3828674884487855,12.249375623529867
Alto Alegre Do Maranhao,Maranhao,26.495730033134986,22.31767830702023,39.88385072644502,37.79802448919557,5.4749888867377425,11.514577517573029
Anajatuba,Maranhao,46.05451240788786,32.219982709264485,41.94442571468939,25.835612647020714,5.237027343567298,17.281370703052097
Anapurus,Maranhao,28.771029836496375,34.95961242194768,27.607831484748466,37.43340379553751,5.291076530736492,12.307406755349241
Apicum-acu,Maranhao,65.36576541332171,38.35030334407578,27.21924157960993,34.4310232360893,5.1985384634936915,15.97719414422186
Araioses,Maranhao,39.5387793399291,31.325324127635092,26.385353020979398,42.28896482442679,5.50920670251112,16.586340895761385
Arari,Maranhao,49.73710137468312,31.630270250568344,42.204169327996155,26.165601705102194,5.225010736232833,16.926857070739107
Axixa,Maranhao,39.97340245039088,36.3501675537494,32.60118933317871,31.04678390597209,5.059129504978861,15.172608500645492
Bacabal,Maranhao,30.269655418895077,24.682799944041623,40.60201673307938,34.71540579566547,5.368069974441952,13.41817145998942
Bacabeira,Maranhao,42.907772070734126,35.768813961322714,38.43757529681692,25.79480966385022,5.206122714691519,17.549189398353835
Bacuri,Maranhao,57.83946641414118,35.79426423573229,27.89122533984795,36.31458417025341,5.108474103998373,14.587998814322896
Bacurituba,Maranhao,38.7175886870445,37.039363228558116,31.412820573464803,31.547698966438805,5.238073996988403,17.875947509913814
Barao De Grajau,Maranhao,21.200611949770902,21.774649301861594,18.893196203349323,59.33241422541977,5.422460891554601,10.493870177374015
Barra Do Corda,Maranhao,24.304578998385004,21.906653769663414,21.310540320488492,56.78270088725494,5.357191718107456,11.720452893485971
Barreirinhas,Maranhao,34.38517071037693,34.19612494764665,27.187889266632986,38.61583136227894,5.418430177725678,15.972378937536675
Belagua,Maranhao,32.1918658400211,31.057033757324962,30.22408450592914,38.71825452145836,5.205377621299946,13.981020701700293
Benedito Leite,Maranhao,20.514039720296942,22.371895932775825,17.107297888509315,60.521164185350486,5.410516151272956,10.790879722226617
Bequimao,Maranhao,47.973042713322215,32.3176145039766,31.49371142501466,36.18859016481332,5.160418592728235,15.671229892587316
Bernardo Do Mearim,Maranhao,27.240663047171125,21.85125802410926,35.81612604803972,42.330915160190436,5.509738570026316,12.368377315945452
Bom Lugar,Maranhao,24.34984676332909,22.72277013117743,34.10849965969727,43.169258214056946,5.404328132113928,13.960045268206315
Brejo,Maranhao,30.831650612529057,35.655025150124544,28.439910275487136,35.90541049508927,5.284444335589933,12.482478991079624
